date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:35	241562/241562	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202026%2006:09:34%20GMT	https://www.wehouse.in/	D:/FunPlus/wehouse/www.wehouse.in/index.html	(from )
11:39:35	133/133	---MCZ	200	added ('OK')	text/plain	etag:%221dd2f0ffc9ac8b0%22	https://www.wehouse.in/robots.txt		(from )
11:39:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2021%20Aug%202026%2006:09:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/FunPlus/wehouse/www.googletagmanager.com/gtm.05445.delayed	(from https://www.wehouse.in/)
11:39:35	99/99	---M--	410	error ('Gone')	application/json	date:Fri,%2021%20Aug%202026%2006:09:35%20GMT	https://js.hs-scripts.com/20348301.js	D:/FunPlus/wehouse/js.hs-scripts.com/20348301.1.delayed	(from https://www.wehouse.in/)
11:39:36	1987/1987	---MCZ	200	added ('OK')	image/svg+xml	etag:%221dca2900eb4edc3%22	https://www.wehouse.in/images/wehouse-icon.svg?v=MDlcJpVUQi12twFFIs4GxS-Kkls0puoi1-b_3boz7TA	D:/FunPlus/wehouse/www.wehouse.in/images/wehouse-iconf5e7.svg	(from https://www.wehouse.in/)
11:39:36	42588/42588	---MCZ	200	added ('OK')	font/woff2	etag:%221dca89ff18b015c%22	https://www.wehouse.in/fonts/Satoshi-Variable.woff2	D:/FunPlus/wehouse/www.wehouse.in/fonts/Satoshi-Variable.woff2	(from https://www.wehouse.in/)
11:39:36	275837/275837	---MCZ	200	added ('OK')	text/css	etag:%221dd2fdb9081a37d%22	https://www.wehouse.in/css/site.css?v=DLqZOEuko_-hdN2ivZISYjAD6kN4K1JMQdaqtcHVusE	D:/FunPlus/wehouse/www.wehouse.in/css/sitee1de.css	(from https://www.wehouse.in/)
11:39:36	100460/100460	---M--	200	added ('OK')	image/webp	etag:%221dd24c8740db0ec%22	https://www.wehouse.in/images/hero-bg-base.webp	D:/FunPlus/wehouse/www.wehouse.in/images/hero-bg-base.webp	(from https://www.wehouse.in/)
11:39:37	4190/4190	---MCZ	200	added ('OK')	image/svg+xml	etag:%221dca7211dccf9de%22	https://www.wehouse.in/images/wehouse-logo.svg	D:/FunPlus/wehouse/www.wehouse.in/images/wehouse-logo.svg	(from https://www.wehouse.in/)
11:39:37	4255/4255	---MCZ	200	added ('OK')	image/svg+xml	etag:%221dcd97f0576961f%22	https://www.wehouse.in/images/wehouse-logo-whiteorange.svg	D:/FunPlus/wehouse/www.wehouse.in/images/wehouse-logo-whiteorange.svg	(from https://www.wehouse.in/)
11:39:37	205880/205880	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202026%2006:09:37%20GMT	https://www.wehouse.in/service/residential-construction	D:/FunPlus/wehouse/www.wehouse.in/service/residential-construction.html	(from https://www.wehouse.in/)
11:39:37	113396/113396	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Aug%202026%2006:09:37%20GMT	https://www.wehouse.in/service/commercial-construction	D:/FunPlus/wehouse/www.wehouse.in/service/commercial-construction.html	(from https://www.wehouse.in/)
